tblUploadID,tblSightingsID,SightingID,SurveyID,EffortID,DuplicateSightingStatus,DuplicateSightingNumber,PlatformInstance,Latitude,Longitude,AphiaID,IdentificationConfidence,Cue,SurveyTeam,MinGroupSize,BestGroupSize,MaxGroupSize,NumberOfCalves,SightingStatus,SightingDemographics,SightingDirection,SightingAngle,RadialDistance,PerpendicularDistance,Behaviour1,Behaviour2,Behaviour3,Comments
721,59418,A02/07/M08/07_00031/S261085,SCANSIII Block A Aerial,A02/07/M08/07_00031/261085                        ,N,,1,43.74663,-6.3561,137094,NR,BU,NR,2,2,,0,A,,P,76,,45.62702  ,127,124,124,
733,76294,RA_16_1_3082,CODA Block 2 Single platform,RA_16_1                                           ,N,,1,45.50342,-11.30715,2688,Pr,Bl,O2,1,1,1,,,,,355,1000,,119,124,124,
733,76295,RA_16_1_3170,CODA Block 2 Single platform,RA_16_1                                           ,N,,1,45.49934,-11.35677,2688,Pr,Bl,O1,1,1,1,,,,,357,1600,,119,124,124,
733,76247,RA_34_1_5322,CODA Block 2 Double platform,RA_34_1                                           ,N,,1,45.39202,-12.51639,2688,Pr,Bl,O1,1,1,1,,,,,318,1000,,119,124,124,
733,76248,RA_34_1_5317,CODA Block 2 Double platform,RA_34_1                                           ,N,,1,45.39236,-12.51297,2688,Pr,Bl,O1,1,1,1,,,,,277,1000,,119,124,124,
733,75767,CS_387_1_59911,CODA Block 3 Double platform,CS_387_1                                          ,N,,1,43.32420349,-10.13602161,2688,Pr,Bl,O1,1,1,1,,,,,310,724,,119,124,124,
733,75888,GE_69_1_22,CODA Block 2 Double platform,GE_69_1                                           ,N,,2,53.08827,-15.98303,136980,Pr,Bl,O3,5,5,5,,,,,41,1226,,119,124,124,
730,72741,85249503,SCANSIII Block 11 Double platform,11_541_1                                          ,N,,1,44.39111328,-2.974765062,137107,D,Br,O2,2,2,2,,,,,32,899,,73,124,124,
730,72743,85249503,SCANSIII Block 11 Double platform,11_541_1                                          ,N,,1,44.39111328,-2.974765062,137107,D,Br,O2,2,2,2,,,,,32,899,,73,124,124,
730,74592,68560229,SCANSIII Block 9 Double platform,9_700_1                                           ,N,,2,47.17726,-10.22168,2688,D,Br,O4,1,1,1,,,,,358,2638,,73,124,124,
730,73171,19473273,SCANSIII Block 12 Double platform,12_123_1                                          ,N,,2,43.70915604,-13.03951454,136980,D,Br,O4,6,6,6,,,,,59,379,,127,124,124,
730,73173,19473273,SCANSIII Block 12 Double platform,12_123_1                                          ,N,,2,43.70915604,-13.03951454,136980,D,Br,O4,6,6,6,,,,,59,379,,127,124,124,
730,73090,18042259,SCANSIII Block 12 Double platform,12_116_1                                          ,N,,2,44.37992477,-12.79793072,137091,D,Bl,O4,2,2,2,,,,,22,4806,,124,124,124,
730,73170,19391271,SCANSIII Block 12 Double platform,12_123_1                                          ,N,,2,43.74642563,-13.02835941,137091,D,Bl,O4,1,1,1,,,,,32,1757,,124,124,124,
730,73175,19391271,SCANSIII Block 12 Double platform,12_123_1                                          ,N,,2,43.74642563,-13.02835941,137091,D,Bl,O4,1,1,1,,,,,32,1757,,124,124,124,
721,59278,A02/01/M09/07_00037/S262867,SCANSIII Block A Aerial,A02/01/M09/07_00037/262867                        ,N,,1,43.68652,-2.19561,137127,NR,BU,NR,1,1,,0,A,,P,54,,132.95728 ,127,124,124,
724,61651,B02/19/K10/07_00039/S215999,SCANSIII Block B Aerial,B02/19/K10/07_00039/215999                        ,N,,1,46.16454,-1.76188,127405,NR,NR,NR,1,1,,0,A,,P,,,,124,124,124,
721,59348,A02/04/M08/07_00034/S261946,SCANSIII Block A Aerial,A02/04/M08/07_00034/261946                        ,N,,1,43.58321,-4.13822,127405,NR,BU,NR,1,1,,0,A,,P,77,,42.24888  ,124,124,124,
718,58728,K02/05/E21/07_00039/S89344,SCANSIII Block K Aerial,K02/05/E21/07_00039/89344                         ,N,,1,59.13673,-5.83978,136986,NR,BU,O3,1,1,,0,A,,P,80,,32.26784  ,124,124,124,dive down
718,58777,L02/05/H04/07_00027/S106427,SCANSIII Block L Aerial,L02/05/H04/07_00027/106427                        ,N,,1,52.04483,3.48829,137117,NR,NR,O4,3,3,,1,A,,P,35,,261.35109 ,124,124,124,
611,32576,O02/09/H15/07_00047/S115846,SCANSIII Block O Aerial,O02/09/H15/07_00047/115846                        ,N,,1,53.74525,1.59798,137117,NR,BF,O4,1,1,,0,A,,P,44,,189.50205 ,128,124,124,at fishball
586,31061,D02/09/I19/07_00079/S174721,SCANSIII Block D Aerial,D02/09/I19/07_00079/174721                        ,N,,1,50.37086,-6.98972,136980,NR,BF,O5,20,20,,0,A,,P,42,,203.24209 ,128,124,124,
